old_column,new_column,meaning,unit,source
S.LIMS.Q:U-30200:02561::Vis@040C_lag1,sh_vis_40C_cSt_lag1,,,LIMS
S.LIMS.Q:U-30200:02561::Vis@040C_roc,sh_vis_40C_cSt_roc,,,LIMS
S.LIMS.Q:U-30200:02561::Vis@040C_rm7,sh_vis_40C_cSt_rm7,,,LIMS
S.LIMS.Q:U-30200:02561::Vis@040C_rs7,sh_vis_40C_cSt_rs7,,,LIMS
S.LIMS.Q:U-30200:02561::Vis@100C_lag1,sh_vis_100C_cSt_lag1,,,LIMS
S.LIMS.Q:U-30200:02561::Vis@100C_roc,sh_vis_100C_cSt_roc,,,LIMS
S.LIMS.Q:U-30200:02561::Vis@100C_rm7,sh_vis_100C_cSt_rm7,,,LIMS
S.LIMS.Q:U-30200:02561::Vis@100C_rs7,sh_vis_100C_cSt_rs7,,,LIMS
fg_energy_day_lag1,fg_energy_day_lag1,,,
fg_energy_day_roc,fg_energy_day_roc,,,
fg_energy_day_rm7,fg_energy_day_rm7,,,
fg_energy_day_rs7,fg_energy_day_rs7,,,
sec_lag1,sec_lag1,,,
sec_roc,sec_roc,,,
sec_rm7,sec_rm7,,,
sec_rs7,sec_rs7,,,
target_fg_energy_day,target_fg_energy_day,,,
target_sec,target_sec,,,
